employer,job_title,job_year_begin,job_year_end,reason_end,full_name,birthdate,deathdate,birthplace,birthyear,deathyear,nth_job,bachelors_year,masters_year,phd_year,bachelors_age,masters_age,phd_age
Various schools in Kansas,Teacher,,1929,Entered Catholic University for graduate work,Sister Mary Nicholas Arnoldy,"March 7, 1893","September 28, 1985","Tipton, Kansas",1893,1985.0,1,1929.0,1930.0,1933.0,36.0,37.0,40.0
"Marymount College, Salina, Kansas",Director of the Mathematics Department,1932,1966,Retirement,Sister Mary Nicholas Arnoldy,"March 7, 1893","September 28, 1985","Tipton, Kansas",1893,1985.0,2,1929.0,1930.0,1933.0,36.0,37.0,40.0
"Sacred Heart High School, Salina",Teacher,1966,,,Sister Mary Nicholas Arnoldy,"March 7, 1893","September 28, 1985","Tipton, Kansas",1893,1985.0,3,1929.0,1930.0,1933.0,36.0,37.0,40.0
"Notre Dame High School, Concordia",Teacher,,,,Sister Mary Nicholas Arnoldy,"March 7, 1893","September 28, 1985","Tipton, Kansas",1893,1985.0,4,1929.0,1930.0,1933.0,36.0,37.0,40.0
"Central Catholic High School, Grand Island, Nebraska",Part-time Worker,,,,Sister Mary Nicholas Arnoldy,"March 7, 1893","September 28, 1985","Tipton, Kansas",1893,1985.0,5,1929.0,1930.0,1933.0,36.0,37.0,40.0
Burlington High School,Teacher,1920,1922,,Beatrice Liberty Hagen,"July 4, 1899","July 22, 1987","Barton County, near Ellinwood, Kansas",1899,1987.0,1,1920.0,1926.0,1930.0,21.0,27.0,31.0
Dodge City High School,Teacher,1923,1924,,Beatrice Liberty Hagen,"July 4, 1899","July 22, 1987","Barton County, near Ellinwood, Kansas",1899,1987.0,2,1920.0,1926.0,1930.0,21.0,27.0,31.0
Ozark Wesleyan College,Teacher,1926,1927,College closed in 1932,Beatrice Liberty Hagen,"July 4, 1899","July 22, 1987","Barton County, near Ellinwood, Kansas",1899,1987.0,3,1920.0,1926.0,1930.0,21.0,27.0,31.0
Nebraska State Normal College,Teacher,1928,1929,,Beatrice Liberty Hagen,"July 4, 1899","July 22, 1987","Barton County, near Ellinwood, Kansas",1899,1987.0,4,1920.0,1926.0,1930.0,21.0,27.0,31.0
Fort Hays Kansas State College,Instructor,1930,1931,,Beatrice Liberty Hagen,"July 4, 1899","July 22, 1987","Barton County, near Ellinwood, Kansas",1899,1987.0,5,1920.0,1926.0,1930.0,21.0,27.0,31.0
Pennsylvania State College,Instructor,1931,1940,Promotion,Beatrice Liberty Hagen,"July 4, 1899","July 22, 1987","Barton County, near Ellinwood, Kansas",1899,1987.0,6,1920.0,1926.0,1930.0,21.0,27.0,31.0
Pennsylvania State College,Assistant Professor,1940,1945,Promotion,Beatrice Liberty Hagen,"July 4, 1899","July 22, 1987","Barton County, near Ellinwood, Kansas",1899,1987.0,7,1920.0,1926.0,1930.0,21.0,27.0,31.0
Pennsylvania State College,Associate Professor,1945,1956,Promotion,Beatrice Liberty Hagen,"July 4, 1899","July 22, 1987","Barton County, near Ellinwood, Kansas",1899,1987.0,8,1920.0,1926.0,1930.0,21.0,27.0,31.0
Pennsylvania State College,Professor,1956,1959,Retirement,Beatrice Liberty Hagen,"July 4, 1899","July 22, 1987","Barton County, near Ellinwood, Kansas",1899,1987.0,9,1920.0,1926.0,1930.0,21.0,27.0,31.0
Kansas State University,Temporary Associate Professor,1960,1962,,Beatrice Liberty Hagen,"July 4, 1899","July 22, 1987","Barton County, near Ellinwood, Kansas",1899,1987.0,10,1920.0,1926.0,1930.0,21.0,27.0,31.0
Science Hill School,Teacher,1915,1917,Moved to another school,Anna Margaret Mullikin,"March 7, 1893","August 24, 1975","Baltimore, Maryland",1893,1975.0,1,1915.0,1919.0,1922.0,22.0,26.0,29.0
Mary Baldwin Seminary,Instructor,1917,1918,Moved to another school,Anna Margaret Mullikin,"March 7, 1893","August 24, 1975","Baltimore, Maryland",1893,1975.0,2,1915.0,1919.0,1922.0,22.0,26.0,29.0
Stevens School,Teacher,1919,1920,Moved to another school,Anna Margaret Mullikin,"March 7, 1893","August 24, 1975","Baltimore, Maryland",1893,1975.0,3,1915.0,1919.0,1922.0,22.0,26.0,29.0
University of Texas,Instructor,1920,1921,Returned to University of Pennsylvania,Anna Margaret Mullikin,"March 7, 1893","August 24, 1975","Baltimore, Maryland",1893,1975.0,4,1915.0,1919.0,1922.0,22.0,26.0,29.0
Oak Lane Country Day School,Teacher,1921,1922,Completed PhD,Anna Margaret Mullikin,"March 7, 1893","August 24, 1975","Baltimore, Maryland",1893,1975.0,5,1915.0,1919.0,1922.0,22.0,26.0,29.0
William Penn High School,Teacher,1922,1923,Moved to Germantown High School,Anna Margaret Mullikin,"March 7, 1893","August 24, 1975","Baltimore, Maryland",1893,1975.0,6,1915.0,1919.0,1922.0,22.0,26.0,29.0
Germantown High School,"Teacher, Head of Mathematics Department",1923,1959,Retirement,Anna Margaret Mullikin,"March 7, 1893","August 24, 1975","Baltimore, Maryland",1893,1975.0,7,1915.0,1919.0,1922.0,22.0,26.0,29.0
Wisconsin Female College,Mathematics Teacher,1889,1891,Accepted a fellowship at Bryn Mawr,Mary Frances Winston Newson,"August 7, 1869","December 5, 1959","Forreston, Illinois",1869,1959.0,1,1889.0,,1897.0,20.0,,28.0
St. Joseph High School,Teacher,1896,1897,Appointed professor at Kansas State Agricultural College,Mary Frances Winston Newson,"August 7, 1869","December 5, 1959","Forreston, Illinois",1869,1959.0,2,1889.0,,1897.0,20.0,,28.0
Kansas State Agricultural College,Professor of Mathematics,1897,1900,Resigned to marry Henry Byron Newson,Mary Frances Winston Newson,"August 7, 1869","December 5, 1959","Forreston, Illinois",1869,1959.0,3,1889.0,,1897.0,20.0,,28.0
