degree_institution_name,degree_type,degree_year,degree_advisor,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
Kansas State Agricultural College,BS,1929,,Sister Mary Nicholas Arnoldy,"March 7, 1893","September 28, 1985","Tipton, Kansas",1893,1985.0
Catholic University of America,MA,1930,,Sister Mary Nicholas Arnoldy,"March 7, 1893","September 28, 1985","Tipton, Kansas",1893,1985.0
Catholic University of America,PhD,1933,Aubrey Edward Landry,Sister Mary Nicholas Arnoldy,"March 7, 1893","September 28, 1985","Tipton, Kansas",1893,1985.0
University of Kansas,BA,1920,,Beatrice Liberty Hagen,"July 4, 1899","July 22, 1987","Barton County, near Ellinwood, Kansas",1899,1987.0
University of Chicago,MA,1926,Ernest Preston Lane,Beatrice Liberty Hagen,"July 4, 1899","July 22, 1987","Barton County, near Ellinwood, Kansas",1899,1987.0
University of Chicago,PhD,1930,Ernest Preston Lane,Beatrice Liberty Hagen,"July 4, 1899","July 22, 1987","Barton County, near Ellinwood, Kansas",1899,1987.0
Goucher College,BA,1915,,Anna Margaret Mullikin,"March 7, 1893","August 24, 1975","Baltimore, Maryland",1893,1975.0
University of Pennsylvania,MA,1919,,Anna Margaret Mullikin,"March 7, 1893","August 24, 1975","Baltimore, Maryland",1893,1975.0
University of Pennsylvania,PhD,1922,Robert Lee Moore,Anna Margaret Mullikin,"March 7, 1893","August 24, 1975","Baltimore, Maryland",1893,1975.0
University of Wisconsin,BA,1889,,Mary Frances Winston Newson,"August 7, 1869","December 5, 1959","Forreston, Illinois",1869,1959.0
Georg-August-Universität Göttingen,PhD,1897,Felix Klein,Mary Frances Winston Newson,"August 7, 1869","December 5, 1959","Forreston, Illinois",1869,1959.0
University of Kansas,BS,1889,,Annie Louise MacKinnon Fitch,"June 1, 1868","September 12, 1940","Woodstock, Ontario, Canada",1868,1940.0
University of Kansas,MS,1891,Henry Byron Newson,Annie Louise MacKinnon Fitch,"June 1, 1868","September 12, 1940","Woodstock, Ontario, Canada",1868,1940.0
Cornell University,PhD,1894,James Edward Oliver,Annie Louise MacKinnon Fitch,"June 1, 1868","September 12, 1940","Woodstock, Ontario, Canada",1868,1940.0
Mount Holyoke College,BA,1922,,R. Lucile Anderson,"October 22, 1900","February 18, 1999","Jamestown, New York",1900,1999.0
Bryn Mawr College,PhD,1930,Anna Pell Wheeler,R. Lucile Anderson,"October 22, 1900","February 18, 1999","Jamestown, New York",1900,1999.0
Swarthmore College,BA,1930,N/A,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0
