honor_name,honor_year,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
Alumnae Achievement Citation,1954,Anna Margaret Mullikin,"March 7, 1893","August 24, 1975","Baltimore, Maryland",1893,1975.0
Phi Beta Kappa,1913,Mary Frances Winston Newson,"August 7, 1869","December 5, 1959","Forreston, Illinois",1869,1959.0
Women's Centennial Congress Honor,1940,Mary Frances Winston Newson,"August 7, 1869","December 5, 1959","Forreston, Illinois",1869,1959.0
Erastus Brooks Fellow,1893,Annie Louise MacKinnon Fitch,"June 1, 1868","September 12, 1940","Woodstock, Ontario, Canada",1868,1940.0
Mary E. Garrett European Fellowship,1924,R. Lucile Anderson,"October 22, 1900","February 18, 1999","Jamestown, New York",1900,1999.0
US Department of Commerce Silver Medal,1966,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0
Fellow of the American Statistical Association,1968,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0
Florence P. Lewis telescope installed at Goucher,1954,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0
Phi Beta Kappa,1925,Marie Johanna Weiss,"September 21, 1903","August 19, 1952","Eugene, California",1903,1952.0
Phi Beta Kappa,,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0
Pi Mu Epsilon,,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0
Clara Javen Goodbody scholarship,1927,Irene Price,"January 16, 1902","March 13, 1999","Parr, Indiana",1902,1999.0
Alamogordo Realtor of the Year,1978,Irene Price,"January 16, 1902","March 13, 1999","Parr, Indiana",1902,1999.0
Corresponding Secretary of Pi Mu Epsilon,1925,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0
National Vice President of Sigma Delta Epsilon,1926,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0
President of Sigma Delta Epsilon,1926,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0
Chairman of the Missouri Section of the MAA,1927,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0
Founder and First National President of Kappa Mu Epsilon,1931,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0
Fourth National Historian of Kappa Mu Epsilon,1939,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0
Co-founder of the Tennessee Valley Mathematics Association,1936,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0
Secretary-Treasurer of the Mathematics Division of the Alabama Education Association,1936,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0
Phi Beta Kappa,,Emily McCoy Pixley,"August 19, 1904","August 28, 2000","Knoxville, Tennessee",1904,2000.0
Sigma Xi,,Emily McCoy Pixley,"August 19, 1904","August 28, 2000","Knoxville, Tennessee",1904,2000.0
Phi Beta Kappa,,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0
Charter member of MAA,1916,Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0
Lewis Atterbury Stimson professor,,Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0
Phi Beta Kappa,,Bella Manel Greenfield,"October 13, 1915","April 3, 2010",New York City,1915,2010.0
Joseph A. Gillet scholarship for proficiency in mathematics,1935,Bella Manel Greenfield,"October 13, 1915","April 3, 2010",New York City,1915,2010.0
General honors at Mount Holyoke College,,Mildred Leonora Sanderson,"May 12, 1889","October 15, 1914","Waltham, Massachusetts",1889,1914.0
Honors in mathematics at Mount Holyoke College,1910,Mildred Leonora Sanderson,"May 12, 1889","October 15, 1914","Waltham, Massachusetts",1889,1914.0
Bardwell Memorial Fellowship from Mount Holyoke,1910,Mildred Leonora Sanderson,"May 12, 1889","October 15, 1914","Waltham, Massachusetts",1889,1914.0
Mildred L. Sanderson prize for excellence in mathematics established,1939,Mildred Leonora Sanderson,"May 12, 1889","October 15, 1914","Waltham, Massachusetts",1889,1914.0
Honored by Sigma Delta Epsilon,1963,Beulah May Armstrong,"November 18, 1895","February 22, 1965","Sterling, Kansas",1895,1965.0
Honored by Zeta Tau Alpha,1964,Beulah May Armstrong,"November 18, 1895","February 22, 1965","Sterling, Kansas",1895,1965.0
Talcott Fellow from Rockford College,1934,Harriet Bonner (Rees),"July 16, 1914","June 28, 1978","Mt. Morris, Illinois",1914,1978.0
Fanny P. Lewis Scholarship,1930-1932,Margarete Caroline Hopkins (née Wolf),"November 3, 1911","April 3, 1998","Milwaukee, Wisconsin",1911,1998.0
President of the Mathematics Club,1932,Margarete Caroline Hopkins (née Wolf),"November 3, 1911","April 3, 1998","Milwaukee, Wisconsin",1911,1998.0
Wellesley Honors Scholar,1904-1906,Mary Florence Curtis Graustein,"April 12, 1884","July 18, 1972","Westminster, Massachusetts",1884,1972.0
Mary E. Horton Fellowship,1914-1915,Mary Florence Curtis Graustein,"April 12, 1884","July 18, 1972","Westminster, Massachusetts",1884,1972.0
One of the ten outstanding living alumnae,1953,Anna Helen Tappan,"October 22, 1888","November 10, 1971","Mount Pleasant, Iowa",1888,1971.0
Honorary Doctor of Humane Letters degree,1954,Anna Helen Tappan,"October 22, 1888","November 10, 1971","Mount Pleasant, Iowa",1888,1971.0
President M. Carey Thomas European fellowship,1918,Margaret Buchanan Cole,"August 18, 1885","September 10, 1959","Clinton, Pennsylvania",1885,1959.0
Association of Collegiate Alumnae European fellowship,1920,Margaret Buchanan Cole,"August 18, 1885","September 10, 1959","Clinton, Pennsylvania",1885,1959.0
First woman president of West Virginia University's alumni association,1939,Margaret Buchanan Cole,"August 18, 1885","September 10, 1959","Clinton, Pennsylvania",1885,1959.0
Phi Beta Kappa,,Caroline Eustis Seely,"August 3, 1887","May 17, 1961","Delhi, New York",1887,1961.0
Durant Scholar,1935,Martha Eldora Hathaway Williams,"January 25, 1914","July 22, 1989","Montclair, New Jersey",1914,1989.0
President of the Wellesley Mathematics Club,1934,Martha Eldora Hathaway Williams,"January 25, 1914","July 22, 1989","Montclair, New Jersey",1914,1989.0
President of the Delaware Federation of Garden Clubs,1962,Martha Eldora Hathaway Williams,"January 25, 1914","July 22, 1989","Montclair, New Jersey",1914,1989.0
President of the Wilmington branch of the AAUW,1961,Martha Eldora Hathaway Williams,"January 25, 1914","July 22, 1989","Montclair, New Jersey",1914,1989.0
MAA Charter Member,1915,Elizabeth Buchanan Cowley,"May 22, 1874","April 13, 1945","Allegheny, Pennsylvania",1874,1945.0
Emeritus member of the Ohio Council of Teachers of Mathematics,1975,Sister Mary Cleophas Garvin,"December 11, 1899","January 16, 1990","Vickery, Ohio",1899,1990.0
Vincent P. Haas Memorial Award,1985,Sister Mary Cleophas Garvin,"December 11, 1899","January 16, 1990","Vickery, Ohio",1899,1990.0
Mayor’s Award for volunteerism,1985,Sister Mary Cleophas Garvin,"December 11, 1899","January 16, 1990","Vickery, Ohio",1899,1990.0
Vice President of University Mathematical Society,1924,Olive Margaret Hughes,"December 13, 1899","December 29, 1936","London, England",1899,1936.0
President of University Mathematical Society,1925,Olive Margaret Hughes,"December 13, 1899","December 29, 1936","London, England",1899,1936.0
Phi Beta Kappa,,Dorothy Manning Smiley Little,"October 6, 1909","October 18, 1988","Champaign, Illinois",1909,1988.0
Sigma Xi,,Dorothy Manning Smiley Little,"October 6, 1909","October 18, 1988","Champaign, Illinois",1909,1988.0
Iota Sigma Pi,,Dorothy Manning Smiley Little,"October 6, 1909","October 18, 1988","Champaign, Illinois",1909,1988.0
Sigma Delta Epsilon,,Dorothy Manning Smiley Little,"October 6, 1909","October 18, 1988","Champaign, Illinois",1909,1988.0
Phi Beta Kappa,,Gertrude Stith Ketchum,"August 4, 1903","September 27, 1958","near Nunez, Georgia",1903,1958.0
Sigma Xi,,Gertrude Stith Ketchum,"August 4, 1903","September 27, 1958","near Nunez, Georgia",1903,1958.0
Sigma Delta Epsilon,,Gertrude Stith Ketchum,"August 4, 1903","September 27, 1958","near Nunez, Georgia",1903,1958.0
"First place for best stamp collection, Henry Clay Philatelic Society",1939,Sallie Elizabeth Pence,"September 5, 1893","July 26, 1989","Lexington, Kentucky",1893,1989.0
Zeta Mu Tau,,Mary Elizabeth Haller,"June 15, 1901","June 16, 1970","Cumberland, Maryland",1901,1970.0
Sigma Pi Sigma,,Mary Elizabeth Haller,"June 15, 1901","June 16, 1970","Cumberland, Maryland",1901,1970.0
Pi Lambda Theta,,Mary Elizabeth Haller,"June 15, 1901","June 16, 1970","Cumberland, Maryland",1901,1970.0
American Society for Engineering Education,,Mary Elizabeth Haller,"June 15, 1901","June 16, 1970","Cumberland, Maryland",1901,1970.0
Phi Beta Kappa,,Mary Elizabeth Haller,"June 15, 1901","June 16, 1970","Cumberland, Maryland",1901,1970.0
Sigma Xi,,Mary Elizabeth Haller,"June 15, 1901","June 16, 1970","Cumberland, Maryland",1901,1970.0
Pi Mu Epsilon,,Mary Elizabeth Haller,"June 15, 1901","June 16, 1970","Cumberland, Maryland",1901,1970.0
Phi Beta Kappa,N/A,Josephine Alberta Robinson Roe,"May 5, 1858","April 29, 1946","Meredith, New Hampshire",1858,1946.0
Phi Kappa Phi,N/A,Josephine Alberta Robinson Roe,"May 5, 1858","April 29, 1946","Meredith, New Hampshire",1858,1946.0
Sigma Xi,N/A,Josephine Alberta Robinson Roe,"May 5, 1858","April 29, 1946","Meredith, New Hampshire",1858,1946.0
Fellow of AAAS,N/A,Josephine Alberta Robinson Roe,"May 5, 1858","April 29, 1946","Meredith, New Hampshire",1858,1946.0
"Honorary Doctor of Pedagogy, Heidelberg College",1950,Grace Marie Bareis,"December 19, 1875","June 15, 1962","Canal Winchester, Ohio",1875,1962.0
Featured in 'Connecting Women in Mathematics Across Canada',2006,Grace Marie Bareis,"December 19, 1875","June 15, 1962","Canal Winchester, Ohio",1875,1962.0
Julia Dale Prize,1938,Julia May Dale,"October 16, 1893","January 13, 1936","Shelbyville, Kentucky",1893,1936.0
Phi Beta Kappa,,Susan Miller Rambo,"April 3, 1883","January 7, 1977","Easton, Pennsylvania",1883,1977.0
Sigma Xi,,Susan Miller Rambo,"April 3, 1883","January 7, 1977","Easton, Pennsylvania",1883,1977.0
Phi Beta Kappa,,Marion Ballantyne White,"March 28, 1871","January 30, 1958","Peoria, Illinois",1871,1958.0
Sigma Xi,,Marion Ballantyne White,"March 28, 1871","January 30, 1958","Peoria, Illinois",1871,1958.0
Phi Beta Kappa,,Alta Harriet Odoms Gray,"October 1, 1910","December 30, 2001","Fredonia, Indiana",1910,2001.0
Sigma Xi,,Alta Harriet Odoms Gray,"October 1, 1910","December 30, 2001","Fredonia, Indiana",1910,2001.0
Phi Beta Kappa,,Mary Evelyn Wells,"August 20, 1881","October 7, 1965","LeRaysville, Pennsylvania",1881,1965.0
Fellow of the American Association for the Advancement of Science,,Mary Evelyn Wells,"August 20, 1881","October 7, 1965","LeRaysville, Pennsylvania",1881,1965.0
Phi Beta Kappa,1912,Olive Clio Hazlett,"October 27, 1890","March 8, 1974","Cincinnati, Ohio",1890,1974.0
American Association for the Advancement of Science Award,1920,Olive Clio Hazlett,"October 27, 1890","March 8, 1974","Cincinnati, Ohio",1890,1974.0
Guggenheim Fellowship,1928,Olive Clio Hazlett,"October 27, 1890","March 8, 1974","Cincinnati, Ohio",1890,1974.0
Starred in American Men of Science,1927,Olive Clio Hazlett,"October 27, 1890","March 8, 1974","Cincinnati, Ohio",1890,1974.0
PhD with honor,1900,Anne Lucy Bosworth Focke,"September 29, 1868","May 15, 1907","Woonsocket, Rhode Island",1868,1907.0
Starred in American Men of Science,1921,Anna Johnson Pell Wheeler,"May 5, 1883","March 26, 1966","Calliope (now Hawarden), Iowa",1883,1966.0
First woman to deliver an invited address at AMS,1923,Anna Johnson Pell Wheeler,"May 5, 1883","March 26, 1966","Calliope (now Hawarden), Iowa",1883,1966.0
First woman to deliver AMS colloquium lectures,1927,Anna Johnson Pell Wheeler,"May 5, 1883","March 26, 1966","Calliope (now Hawarden), Iowa",1883,1966.0
Honorary DSc from New Jersey College for Women,1932,Anna Johnson Pell Wheeler,"May 5, 1883","March 26, 1966","Calliope (now Hawarden), Iowa",1883,1966.0
Honorary DSc from Mount Holyoke College,1937,Anna Johnson Pell Wheeler,"May 5, 1883","March 26, 1966","Calliope (now Hawarden), Iowa",1883,1966.0
Chi Delta Phi,,Constance Juliet Ballantine,"August 15, 1896","January 14, 1974","Lincoln, Nebraska",1896,1974.0
Phi Beta Kappa,,Constance Juliet Ballantine,"August 15, 1896","January 14, 1974","Lincoln, Nebraska",1896,1974.0
Sigma Xi,,Constance Juliet Ballantine,"August 15, 1896","January 14, 1974","Lincoln, Nebraska",1896,1974.0
Delta Kappa Gamma,,Anna Adelaide Stafford Henriques,"August 20, 1905","November 28, 2004","Chicago, Illinois",1905,2004.0
Outstanding Educator of America award,1974,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0
Delta Kappa Gamma state achievement award,1985,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0
University of South Dakota Foundation’s Inman Award,1998,Marjorie Louise Beaty (Heckel),"January 21, 1906","July 18, 2002","Buffalo, New York",1906,2002.0
Hohenthal Scholar,1923,Deborah May Hickey Maria,"December 16, 1904","June 8, 2001","Lumberton, Mississippi",1904,2001.0
Graham Baker Student Award,1924,Deborah May Hickey Maria,"December 16, 1904","June 8, 2001","Lumberton, Mississippi",1904,2001.0
Durant Scholar,1921,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0
President of Lynchburg Consumer Cooperative,1932-1940,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0
President of Appalachian Trail Club,1958-1962,Evelyn Prescott Wiggin Casner,"March 1, 1900","November 5, 1964","Stratham, New Hampshire",1900,1964.0
Sigma Xi,,Ethel Louise Anderton,"September 23, 1888","February 19, 1971","Dover, New Hampshire",1888,1971.0
Pi Lambda Theta,1924,Caroline Avery Lester,"April 6, 1902","December 29, 1996","Seneca Falls, New York",1902,1996.0
Phi Kappa Phi,1924,Caroline Avery Lester,"April 6, 1902","December 29, 1996","Seneca Falls, New York",1902,1996.0
Gillie A. Larew Chair of Mathematics,1948,Gillie Aldah Larew,"July 28, 1882","January 2, 1977","Near Newbern, Pulaski County, Virginia",1882,1977.0
Honorary degree of Doctor of Humane Letters,1953,Gillie Aldah Larew,"July 28, 1882","January 2, 1977","Near Newbern, Pulaski County, Virginia",1882,1977.0
Gillie Aldah Larew Distinguished Teaching Award,1968,Gillie Aldah Larew,"July 28, 1882","January 2, 1977","Near Newbern, Pulaski County, Virginia",1882,1977.0
"Emeritus Professor, Kent State University",1972,Frances Harshbarger,"August 16, 1902","February 11, 1987","Quimby, Iowa",1902,1987.0
Pin for twenty years of volunteer service to the US Weather Bureau,1966,Sister Mary Felice Vaudreuil,"August 20, 1894","October 27, 1978","Chippewa Falls, Wisconsin",1894,1978.0
Phi Beta Kappa,,Mildred Marie Sullivan,"November 16, 1907","August 30, 1958","Boston, Massachusetts",1907,1958.0
Phi Beta Kappa,1923,Aline Huke Frink,"March 2, 1904","March 14, 2000","Torrington, Connecticut",1904,2000.0
Charter member of the MAA,,Anna Lavinia Van Benschoten,"August 12, 1866","September 18, 1927","Elmira, New York",1866,1927.0
Witham Debate Cup,1928,Andrewa Rebecca Noble,"March 28, 1908","November 21, 1993","Oregon City, Oregon",1908,1993.0
Passed cum laude the first part of the associate examination of the American Society of Actuaries,1923,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Eugenie M. Morenus Scholarship endowment,1960,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
Recognized as one of the remaining eight charter members of the MAA Southeastern Section,1966,Eugenie Maria Morenus,"February 21, 1881","October 15, 1966","Cleveland, New York",1881,1966.0
First American woman to receive a PhD in mathematics,1886,Winifred Haring Edgerton Merrill,"September 24, 1862","September 6, 1951","Ripon, Wisconsin",1862,1951.0
Portrait hung at Columbia University,1933,Winifred Haring Edgerton Merrill,"September 24, 1862","September 6, 1951","Ripon, Wisconsin",1862,1951.0
LLD from Vassar College,1887,Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0
Starred for psychology in American Men of Science,1906,Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0
PhD awarded by Johns Hopkins University,1926,Christine Ladd-Franklin,"December 1, 1847","March 5, 1930","Windsor, Connecticut",1847,1930.0
"Honorary Member of the Mathematics Club, Smith College",1909,Goldie Printis Horton Porter,"September 4, 1887","May 11, 1972","Athens, Texas",1887,1972.0
"Professor Emeritus, University of Texas",1966,Goldie Printis Horton Porter,"September 4, 1887","May 11, 1972","Athens, Texas",1887,1972.0
Charter Member of MAA,1916,Claribel Kendall,"January 23, 1889","April 17, 1965","Denver, Colorado",1889,1965.0
President of Rocky Mountain Section of MAA,1930,Claribel Kendall,"January 23, 1889","April 17, 1965","Denver, Colorado",1889,1965.0
Phi Beta Kappa Secretary,1922,Claribel Kendall,"January 23, 1889","April 17, 1965","Denver, Colorado",1889,1965.0
Charter Member of MAA,,Fay Farnum,"August 24, 1888","March 11, 1977","Spencer, Iowa",1888,1977.0
Matrix Table award by Theta Sigma Phi,1949,Dora McFarland,"April 18, 1895","November 26, 1987","near Aledo, Illinois",1895,1987.0
University of Oklahoma Foundation teaching award,1953,Dora McFarland,"April 18, 1895","November 26, 1987","near Aledo, Illinois",1895,1987.0
Delta Kappa Gamma International achievement award,1960,Dora McFarland,"April 18, 1895","November 26, 1987","near Aledo, Illinois",1895,1987.0
King’s Medal for Service in the Cause of Freedom,1948,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
President’s Certificate of Merit,1948,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
MAA’s first award for service to mathematics,1962,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
Hunter College High School’s first distinguished graduate,1965,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
AAUW achievement award,1965,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
AAAS Symposium to Honor Mina Rees,1982,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
"Public Welfare Medal, National Academy of Sciences",1983,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
IEEE Computer Society Pioneer Award,1989,Mina Spiegel Rees,"August 2, 1902","October 25, 1997","Cleveland, Ohio",1902,1997.0
Phi Beta Kappa,,Elizabeth Audrey Wishard McMillan,"July 7, 1914","January 10, 2008","Jubbulpore, India",1914,2008.0
Sigma Xi,,Elizabeth Audrey Wishard McMillan,"July 7, 1914","January 10, 2008","Jubbulpore, India",1914,2008.0
AAAS Fellow,,May Margaret Beenken,"October 22, 1901","December 21, 1988","Philadelphia, Pennsylvania",1901,1988.0
Phi Beta Kappa,1913,Helen Barton,"August 9, 1891","March 19, 1971","Baltimore, Maryland",1891,1971.0
Life Member of the North Carolina Academy of Science,1961,Helen Barton,"August 9, 1891","March 19, 1971","Baltimore, Maryland",1891,1971.0
"Distinguished Alumni Award, State University Alumni Association",1972,Harriet Frances Montague,"June 9, 1905","March 19, 1997","Buffalo, New York",1905,1997.0
"Achievement Award, Buffalo branch of the AAUW",1966,Harriet Frances Montague,"June 9, 1905","March 19, 1997","Buffalo, New York",1905,1997.0
Harriet F. Montague Award established,1973,Harriet Frances Montague,"June 9, 1905","March 19, 1997","Buffalo, New York",1905,1997.0
Vice-chairman and Chairman of the Southeastern Section of the MAA,1940,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
President of the Mathematics Section of the South Carolina Education Association,1940,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
Member of the Board of Directors of NCTM,1944,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
First Editor-in-Chief of the Pi Mu Epsilon Journal,1949,Ruth Wyckliffe Stokes,"October 12, 1890","August 27, 1968","Greenville, South Carolina",1890,1968.0
Charter member of the MAA,1916,Euphemia Richardson Worthington,"December 22, 1881","August 30, 1969","Troy, New York",1881,1969.0
Emeritus fellow by UCLA,1954,Euphemia Richardson Worthington,"December 22, 1881","August 30, 1969","Troy, New York",1881,1969.0
MAA,,Anna Marie Whelan,"September 6, 1895","June 14, 1966","Baltimore, Maryland",1895,1966.0
Phi Beta Kappa,,Anna Marie Whelan,"September 6, 1895","June 14, 1966","Baltimore, Maryland",1895,1966.0
Phi Beta Kappa,Unknown,Antoinette Marie Huston (née Killen),"November 23, 1904","July 13, 1993","Chicago, Illinois",1904,1993.0
Sigma Xi,Unknown,Antoinette Marie Huston (née Killen),"November 23, 1904","July 13, 1993","Chicago, Illinois",1904,1993.0
Charter member of the Mathematical Association of America (MAA),1915,Bessie Irving Miller,"November 4, 1884","February 4, 1931","Baltimore, Maryland",1884,1931.0
Secretary of the Illinois Section of the MAA,1924,Bessie Irving Miller,"November 4, 1884","February 4, 1931","Baltimore, Maryland",1884,1931.0
Secretary-Treasurer of the Illinois Section of the MAA,1925,Bessie Irving Miller,"November 4, 1884","February 4, 1931","Baltimore, Maryland",1884,1931.0
Second Vice President of Sigma Delta Epsilon,1925,Mary Gertrude Haseman,"March 6, 1889","April 9, 1979","Linton, Indiana",1889,1979.0
Second Vice President of Sigma Delta Epsilon,1926,Mary Gertrude Haseman,"March 6, 1889","April 9, 1979","Linton, Indiana",1889,1979.0
Membership in AMS,1935,Henrietta Pearl Terry Nee,"December 30, 1904","June 5, 1981","Virden, Illinois",1904,1981.0
Dr. Ruth B. Rasmusen Award,1970,Ruth Beatrice Rasmusen,"March 29, 1899","October 27, 1974","Moorhead, Minnesota",1899,1974.0
Alumni Achievement Award from Concordia College Alumni Association,1972,Ruth Beatrice Rasmusen,"March 29, 1899","October 27, 1974","Moorhead, Minnesota",1899,1974.0
Pi Lambda Theta,1926,Carolyn Grace Shover Quinn,"December 20, 1906","February 4, 1998","Grove City, Ohio",1906,1998.0
