parent_name,parent_birthdate,parent_deathdate,parent_birthyear,parent_deathyear,parent_profession,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
Anna Holz Arnoldy,1855,1944,1855.0,1944.0,,Sister Mary Nicholas Arnoldy,"March 7, 1893","September 28, 1985","Tipton, Kansas",1893,1985.0
Nicholas Arnoldy,1845,1920,1845.0,1920.0,storekeeper,Sister Mary Nicholas Arnoldy,"March 7, 1893","September 28, 1985","Tipton, Kansas",1893,1985.0
Lena Sessler,1865,1948,1865.0,1948.0,,Beatrice Liberty Hagen,"July 4, 1899","July 22, 1987","Barton County, near Ellinwood, Kansas",1899,1987.0
Louis Hagen,1857,,1857.0,,Farmer,Beatrice Liberty Hagen,"July 4, 1899","July 22, 1987","Barton County, near Ellinwood, Kansas",1899,1987.0
Sophia Ridgely (Battee),1854,1921,1854.0,1921.0,,Anna Margaret Mullikin,"March 7, 1893","August 24, 1975","Baltimore, Maryland",1893,1975.0
William Lawrence Mullikin,1846,1915,1846.0,1915.0,Leather dealer,Anna Margaret Mullikin,"March 7, 1893","August 24, 1975","Baltimore, Maryland",1893,1975.0
Caroline Eliza Mumford,1836,1909,1836.0,1909.0,Teacher,Mary Frances Winston Newson,"August 7, 1869","December 5, 1959","Forreston, Illinois",1869,1959.0
Thomas Winston,1829,1928,1829.0,1928.0,Physician,Mary Frances Winston Newson,"August 7, 1869","December 5, 1959","Forreston, Illinois",1869,1959.0
Annie Louise Gilbert,1834,ca. 1919,1834.0,1919.0,,Annie Louise MacKinnon Fitch,"June 1, 1868","September 12, 1940","Woodstock, Ontario, Canada",1868,1940.0
Malcolm MacKinnon,1838,ca. 1903,1838.0,1903.0,"Real estate agent, hardware merchant",Annie Louise MacKinnon Fitch,"June 1, 1868","September 12, 1940","Woodstock, Ontario, Canada",1868,1940.0
Anna Ebel,1870,,1870.0,,,R. Lucile Anderson,"October 22, 1900","February 18, 1999","Jamestown, New York",1900,1999.0
Charles J. Anderson,1867,,1867.0,,Proprietor of a machine shop,R. Lucile Anderson,"October 22, 1900","February 18, 1999","Jamestown, New York",1900,1999.0
Anna Elizabeth Pickett,1885,1966,1885.0,1966.0,N/A,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0
Dayton Alvin Gurney,1883,1965,1883.0,1965.0,Engineer,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0
Monimia Chase,ca. 1851,1923,1851.0,1923.0,,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0
Walter Felix Lewis,1846,1903,1846.0,1903.0,,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0
Olive Magrew Eversull,1872,1954,1872.0,1954.0,,Bess Marie Allen (Eversull),"May 18, 1899","March 18, 1978","Elmwood Place, Ohio",1899,1978.0
Warner Solomon Eversull,1865,1944,1865.0,1944.0,Principal and Superintendent of a public school,Bess Marie Allen (Eversull),"May 18, 1899","March 18, 1978","Elmwood Place, Ohio",1899,1978.0
Alice Hedwig (Buschke) Weiss,1880,,1880.0,,,Marie Johanna Weiss,"September 21, 1903","August 19, 1952","Eugene, California",1903,1952.0
Frederick Weiss,1869,,1869.0,,Stock Raiser,Marie Johanna Weiss,"September 21, 1903","August 19, 1952","Eugene, California",1903,1952.0
Arah Eleanor Easter,1852,1940,1852.0,1940.0,,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0
Joseph Wilton Alderton,1852,1918,1852.0,1918.0,Real estate agent,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0
Ruth Elizabeth Schroer,1875,1954,1875.0,1954.0,Farmer,Irene Price,"January 16, 1902","March 13, 1999","Parr, Indiana",1902,1999.0
William Edward Price,1874,1930,1874.0,1930.0,Farmer,Irene Price,"January 16, 1902","March 13, 1999","Parr, Indiana",1902,1999.0
Ethel Mary Ober,1879,,1879.0,,Guitar teacher,Esther Ober McCormick Torrance,"August 12, 1909","January 3, 1978","Fort Wayne, Indiana",1909,1978.0
Thomas Holmes McCormick,1875,,1875.0,,Mathematics teacher,Esther Ober McCormick Torrance,"August 12, 1909","January 3, 1978","Fort Wayne, Indiana",1909,1978.0
Alice Mary Dillon,1864,,1864.0,,,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0
Clarence Jacob Wyant,1871,,1871.0,,merchant,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0
Mayme McCoy Chandler,ca. 1879,,1879.0,,,Emily McCoy Pixley,"August 19, 1904","August 28, 2000","Knoxville, Tennessee",1904,2000.0
David Sanders Chandler,1876,,1876.0,,District passenger agent with the railroad,Emily McCoy Pixley,"August 19, 1904","August 28, 2000","Knoxville, Tennessee",1904,2000.0
Emily Dodge (Abbot) Merrill,1830,1889,1830.0,1889.0,,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0
George Merrill,1827,,1827.0,,"Merchant, Dry Goods Merchant, Grain Merchant, Importer, Insurance Auditor, Inventor",Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0
Minerva Tyler,1847,1894,1847.0,1894.0,"Graduate of Oread Institute, described as musical",Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0
Willie C. Young,1847,1909,1847.0,1909.0,"Machinist, bookkeeper, president of W. C. Young Manufacturing Company, chairman of the school committee, Massachusetts state legislature member",Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0
Louisa Castle Hughes,1869,1948,1869.0,1948.0,Teacher,Josephine Hughes Chanler,"April 7, 1906","December 23, 1992","St. Louis, Missouri",1906,1992.0
James H. Chanler,,,,,Lumber Company Worker,Josephine Hughes Chanler,"April 7, 1906","December 23, 1992","St. Louis, Missouri",1906,1992.0
Tillie Manel,1887,1971,1887.0,1971.0,,Bella Manel Greenfield,"October 13, 1915","April 3, 2010",New York City,1915,2010.0
Jacob Manel,1882,1956,1882.0,1956.0,Worked for a dress manufacturer,Bella Manel Greenfield,"October 13, 1915","April 3, 2010",New York City,1915,2010.0
Edna E. Pratt,1862,,1862.0,,,Mildred Leonora Sanderson,"May 12, 1889","October 15, 1914","Waltham, Massachusetts",1889,1914.0
Horace M. Sanderson,1856,,1856.0,,Florist and truck farmer,Mildred Leonora Sanderson,"May 12, 1889","October 15, 1914","Waltham, Massachusetts",1889,1914.0
Lillie J. Detter,1872,,1872.0,,,Beulah May Armstrong,"November 18, 1895","February 22, 1965","Sterling, Kansas",1895,1965.0
John Allen Armstrong,1867,,1867.0,,"Farmer, Hardware Store Owner/Manager",Beulah May Armstrong,"November 18, 1895","February 22, 1965","Sterling, Kansas",1895,1965.0
Wilhelmina Marie Middour,1883,1955,1883.0,1955.0,,Harriet Bonner (Rees),"July 16, 1914","June 28, 1978","Mt. Morris, Illinois",1914,1978.0
Vernon Victor Rees,1882,1956,1882.0,1956.0,"Farmer, later worked in the bindery of a printing plant",Harriet Bonner (Rees),"July 16, 1914","June 28, 1978","Mt. Morris, Illinois",1914,1978.0
Sarah C. Verbeck,1880,1962,1880.0,1962.0,,Abba Verbeck Newton,"February 19, 1908","May 5, 1996","Ballston Spa, New York",1908,1996.0
Samuel Smith Newton,1875,1964,1875.0,1964.0,Worked in the office of the American Hide and Leather Company,Abba Verbeck Newton,"February 19, 1908","May 5, 1996","Ballston Spa, New York",1908,1996.0
Caroline Kupperian,1875,1973,1875.0,1973.0,Not specified,Margarete Caroline Hopkins (née Wolf),"November 3, 1911","April 3, 1998","Milwaukee, Wisconsin",1911,1998.0
John Theodore Wolf,1872,1953,1872.0,1953.0,"Conductor on the street railroad, later a truck gardener",Margarete Caroline Hopkins (née Wolf),"November 3, 1911","April 3, 1998","Milwaukee, Wisconsin",1911,1998.0
Jennie Esther Lucas,1857,1945,1857.0,1945.0,,Mary Florence Curtis Graustein,"April 12, 1884","July 18, 1972","Westminster, Massachusetts",1884,1972.0
Frank Abbott Curtis,1857,1937,1857.0,1937.0,,Mary Florence Curtis Graustein,"April 12, 1884","July 18, 1972","Westminster, Massachusetts",1884,1972.0
Anna Grand-Girard,1850,,1850.0,,,Anna Helen Tappan,"October 22, 1888","November 10, 1971","Mount Pleasant, Iowa",1888,1971.0
David Stanton Tappan,1845,1922,1845.0,1922.0,Presbyterian minister,Anna Helen Tappan,"October 22, 1888","November 10, 1971","Mount Pleasant, Iowa",1888,1971.0
Katherine Connell,1876,1958,1876.0,1958.0,,Mary Virginia Landers (née Kenny),"February 5, 1905","November 18, 1990","Fall River, Massachusetts",1905,1990.0
Bernard Francis Kenny,1878,1963,1878.0,1963.0,"Letter carrier, civil service",Mary Virginia Landers (née Kenny),"February 5, 1905","November 18, 1990","Fall River, Massachusetts",1905,1990.0
Sarah Wiley,1858,,1858.0,,,Margaret Buchanan Cole,"August 18, 1885","September 10, 1959","Clinton, Pennsylvania",1885,1959.0
Aaron Moore Buchanan,1856,,1856.0,,Presbyterian minister,Margaret Buchanan Cole,"August 18, 1885","September 10, 1959","Clinton, Pennsylvania",1885,1959.0
Sarah Augusta Wheeler,1846,,1846.0,,,Caroline Eustis Seely,"August 3, 1887","May 17, 1961","Delhi, New York",1887,1961.0
Henry Bates Seely,1838,1901,1838.0,1901.0,Naval Officer,Caroline Eustis Seely,"August 3, 1887","May 17, 1961","Delhi, New York",1887,1961.0
Sarah Emma Vaughan,ca. 1885,,1885.0,,,Martha Eldora Hathaway Williams,"January 25, 1914","July 22, 1989","Montclair, New Jersey",1914,1989.0
Joseph Wood Hathaway,1885,,1885.0,,"Electrical Engineer, Accountant",Martha Eldora Hathaway Williams,"January 25, 1914","July 22, 1989","Montclair, New Jersey",1914,1989.0
Mary Junkin Buchanan,1853,1937,1853.0,1937.0,"Volunteer supervisor of playgrounds, school board member",Elizabeth Buchanan Cowley,"May 22, 1874","April 13, 1945","Allegheny, Pennsylvania",1874,1945.0
John Cowley,1843,before 1914,1843.0,,Auditor,Elizabeth Buchanan Cowley,"May 22, 1874","April 13, 1945","Allegheny, Pennsylvania",1874,1945.0
Odelia Margaret Wilhelm,1873,1962,1873.0,1962.0,Housewife,Sister Mary Cleophas Garvin,"December 11, 1899","January 16, 1990","Vickery, Ohio",1899,1990.0
Austin Edward Garvin,1868,1926,1868.0,1926.0,Foreman in an auto factory,Sister Mary Cleophas Garvin,"December 11, 1899","January 16, 1990","Vickery, Ohio",1899,1990.0
Martha Rogers,1863,1948,1863.0,1948.0,Dairy Shop Owner,Olive Margaret Hughes,"December 13, 1899","December 29, 1936","London, England",1899,1936.0
Daniel Hughes,1860,1930,1860.0,1930.0,Dairy Shop Owner,Olive Margaret Hughes,"December 13, 1899","December 29, 1936","London, England",1899,1936.0
Esther Mae Crandall,1883,1954,1883.0,1954.0,PhD student in psychology,Dorothy Manning Smiley Little,"October 6, 1909","October 18, 1988","Champaign, Illinois",1909,1988.0
William Albert Manning,1876,1972,1876.0,1972.0,Mathematician,Dorothy Manning Smiley Little,"October 6, 1909","October 18, 1988","Champaign, Illinois",1909,1988.0
Louella Jones Stith,ca. 1882,,1882.0,,,Gertrude Stith Ketchum,"August 4, 1903","September 27, 1958","near Nunez, Georgia",1903,1958.0
John R. Stith,1862,,1862.0,,farmer,Gertrude Stith Ketchum,"August 4, 1903","September 27, 1958","near Nunez, Georgia",1903,1958.0
Belle Kelly,1862,1954,1862.0,1954.0,,Sallie Elizabeth Pence,"September 5, 1893","July 26, 1989","Lexington, Kentucky",1893,1989.0
