visit_location,visit_reason,visit_year,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
"Topeka, KS",Presented to the MAA,1934,Sister Mary Nicholas Arnoldy,"March 7, 1893","September 28, 1985","Tipton, Kansas",1893,1985.0
"Manhattan, KS",Presented to the MAA,1949,Sister Mary Nicholas Arnoldy,"March 7, 1893","September 28, 1985","Tipton, Kansas",1893,1985.0
"Topeka, KS",Presented to the MAA,1953,Sister Mary Nicholas Arnoldy,"March 7, 1893","September 28, 1985","Tipton, Kansas",1893,1985.0
"Hays, KS",Presented to the MAA,1955,Sister Mary Nicholas Arnoldy,"March 7, 1893","September 28, 1985","Tipton, Kansas",1893,1985.0
University of Texas,Instructor position,1920,Anna Margaret Mullikin,"March 7, 1893","August 24, 1975","Baltimore, Maryland",1893,1975.0
Bryn Mawr College,Graduate Fellowship,1891,Mary Frances Winston Newson,"August 7, 1869","December 5, 1959","Forreston, Illinois",1869,1959.0
"Göttingen, Germany",Study under Felix Klein,1893,Mary Frances Winston Newson,"August 7, 1869","December 5, 1959","Forreston, Illinois",1869,1959.0
Göttingen,Association of Collegiate Alumnae European fellow,1894,Annie Louise MacKinnon Fitch,"June 1, 1868","September 12, 1940","Woodstock, Ontario, Canada",1868,1940.0
Göttingen,Women's Education Association of Boston European fellow,1895,Annie Louise MacKinnon Fitch,"June 1, 1868","September 12, 1940","Woodstock, Ontario, Canada",1868,1940.0
"Cambridge University, England",Study,1925,R. Lucile Anderson,"October 22, 1900","February 18, 1999","Jamestown, New York",1900,1999.0
Mexico,Travel,,R. Lucile Anderson,"October 22, 1900","February 18, 1999","Jamestown, New York",1900,1999.0
Alaska,Travel,,R. Lucile Anderson,"October 22, 1900","February 18, 1999","Jamestown, New York",1900,1999.0
Europe,Travel,,R. Lucile Anderson,"October 22, 1900","February 18, 1999","Jamestown, New York",1900,1999.0
Göttingen,Study,1932,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0
Puerto Rico,Consultant for Bureau of Labor Statistics,1961-1971,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0
Thailand,Consultant for US Agency for International Development,1962,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0
Dominican Republic,Consultant for US Agency for International Development,1963,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0
Mexico City,Workshop in household sample surveys,1965,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0
Brazil,Consultant for US Agency for International Development,"1971, 1976",Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0
"Kenya, Uganda, and Ethiopia",Consultant for US Agency for International Development,"1968, 1970",Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0
Vietnam,Consultant for US Agency for International Development,1972,Margaret Gurney,"October 28, 1908","March 19, 2002","Washington, D.C.",1908,2002.0
Sorbonne,Study,1899,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0
Zürich,Study,1899,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0
Zurich,International Congress of Mathematicians,1932,Florence Parthenia Lewis,"September 24, 1877","March 10, 1964","Fort Scott, Kansas",1877,1964.0
University of Chicago,National Research Council fellowship in mathematics,1928,Marie Johanna Weiss,"September 21, 1903","August 19, 1952","Eugene, California",1903,1952.0
University of Chicago,National Research Council fellowship in mathematics,1929,Marie Johanna Weiss,"September 21, 1903","August 19, 1952","Eugene, California",1903,1952.0
"Visalia, California",Visiting her widowed mother and brother,1952,Marie Johanna Weiss,"September 21, 1903","August 19, 1952","Eugene, California",1903,1952.0
Europe,Travel,1927,Nina May Moore (Alderton),"August 19, 1890","November 23, 1973","Berkeley Springs, West Virginia",1890,1973.0
Europe,Travel,1933,Esther Ober McCormick Torrance,"August 12, 1909","January 3, 1978","Fort Wayne, Indiana",1909,1978.0
"Institute for Advanced Study, Princeton",Residence,1938,Esther Ober McCormick Torrance,"August 12, 1909","January 3, 1978","Fort Wayne, Indiana",1909,1978.0
University of Chicago,Summer session,,Emily Kathryn Wyant,"January 16, 1897","July 16, 1942","Ipava, Illinois",1897,1942.0
Alaska,Travel,Late 1940s,Emily McCoy Pixley,"August 19, 1904","August 28, 2000","Knoxville, Tennessee",1904,2000.0
Europe,Travel,Late 1940s,Emily McCoy Pixley,"August 19, 1904","August 28, 2000","Knoxville, Tennessee",1904,2000.0
United States,Travel,Late 1940s,Emily McCoy Pixley,"August 19, 1904","August 28, 2000","Knoxville, Tennessee",1904,2000.0
"Göttingen, England, Italy",Study and Travel,1901,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0
Yale University,Study,1902,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0
"Edinburgh, Great Britain, Canada, United States",Napier Conference and Travel,1914,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0
University of California,Summer Session,1915,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0
"English University Libraries, France, Italy",Work and Travel,1922,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0
Nova Scotia,Travel,1906,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0
"England, Scotland, Wales",Travel,1911,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0
"England, Scotland, Wales",Travel,1914,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0
"California, Canadian Rockies",Travel,1915,Helen Abbot Merrill,"March 30, 1864","May 2, 1949","Orange, New Jersey",1864,1949.0
Mediterranean region,Study and travel,1930,Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0
France and Germany,Travel,1922,Mabel Minerva Young,"July 18, 1872","March 4, 1963","Worcester, Massachusetts",1872,1963.0
